population,school_count,distance_k,gap,category,geom
12593.9677734375,0,0.290492586,3778.19033203125,High Deficit,"MULTIPOLYGON (((66.97977454098549 24.92497623727813, 66.97981138022669 24.922716324845386, 66.97920487500005 24.922424969000076, 66.97849781400004 24.922092550000063, 66.97831970700008 24.92246719000008, 66.97784065800005 24.923529695000067, 66.97768097500006 24.923990319000037, 66.97749058400007 24.924438659000035, 66.97727808045238 24.92494237468525, 66.97977454098549 24.92497623727813)))"
0,0,1.747948287,0,Adequate,"MULTIPOLYGON (((66.97970096408275 24.929489007970854, 66.97977454098549 24.92497623727813, 66.97727808045238 24.92494237468525, 66.97699311100007 24.92561785500004, 66.97648949600006 24.92669878500004, 66.97594903100003 24.928105222000053, 66.97542084900005 24.92938268500006, 66.9753998906555 24.92943063127412, 66.97970096408275 24.929489007970854)))"
16607.373046875,0,0.148199267,4982.2119140625,High Deficit,"MULTIPOLYGON (((66.98974543569608 24.920597279314823, 66.98981814284339 24.91611373317568, 66.98973220300007 24.91612232700004, 66.98959282800007 24.916153686000033, 66.98947087500005 24.916233827000042, 66.98919212500005 24.916484702000048, 66.98905097100004 24.916675242000053, 66.98862266800006 24.917170170000077, 66.98831809700005 24.917627027000037, 66.98779461600003 24.91846459700003, 66.98754334500006 24.91894477200003, 66.98729083700005 24.91942478800007, 66.98722604000005 24.91949768600006, 66.98716934200007 24.919635380000038, 66.98715584300004 24.920034964000024, 66.9871435247615 24.920562164189196, 66.98974543569608 24.920597279314823)))"
9934.443359,0,1.272896543,2980.3330078125,Moderate Deficit,"MULTIPOLYGON (((66.9847233798087 24.925043240898844, 66.98967223641293 24.92511008041692, 66.98974543569608 24.920597279314823, 66.9871435247615 24.920562164189196, 66.98714234300007 24.92061274100007, 66.98715584300004 24.92087733100004, 66.98716934200007 24.921201318000044, 66.98721254000003 24.921436208000042, 66.98725843900007 24.921808794000075, 66.98734483500004 24.92211658100007, 66.98736373400004 24.922359572000058, 66.98734483500004 24.92256746300006, 66.98730433700007 24.922626861000023, 66.98718824100007 24.92270515800004, 66.98707484600004 24.922751056000042, 66.98689395300005 24.922721357000054, 66.98659696500005 24.922626861000026, 66.98641337200007 24.92258636300005, 66.98628107800005 24.922626861000023, 66.98598948900008 24.922788855000075, 66.98536041400007 24.923129041000035, 66.98488523300006 24.923361232000047, 66.98474964681188 24.92342795775492, 66.9847233798087 24.925043240898844)))"
12786.60547,0,0.774318099,3835.981641,High Deficit,"MULTIPOLYGON (((66.97977454098549 24.92497623727813, 66.9847233798087 24.925043240898844, 66.98474964681188 24.92342795775492, 66.98419946000007 24.923698718000022, 66.98354608600005 24.92401730600005, 66.98324909800004 24.924173899000035, 66.98306820600004 24.92425489600003, 66.98293051100006 24.92428999500004, 66.98286571400007 24.924271095000048, 66.98266322200004 24.924117202000044, 66.98224479200007 24.923838677000052, 66.98143660000005 24.923465666000023, 66.98065949300008 24.923123739000058, 66.97981138022669 24.922716324845386, 66.97977454098549 24.92497623727813)))"
11077.2509765625,1,0,2823.17529296875,Moderate Deficit,"MULTIPOLYGON (((66.9847233798087 24.925043240898844, 66.98464998284561 24.929556025346656, 66.98959901939233 24.929622878586162, 66.98967223641293 24.92511008041692, 66.9847233798087 24.925043240898844)))"
11607.3349609375,0,0.01090864,3482.20048828125,High Deficit,"MULTIPOLYGON (((66.97977454098549 24.92497623727813, 66.97970096408275 24.929489007970854, 66.98464998284561 24.929556025346656, 66.9847233798087 24.925043240898844, 66.97977454098549 24.92497623727813)))"
15464.70703,1,0,4139.412109,High Deficit,"MULTIPOLYGON (((66.98464998284561 24.929556025346656, 66.98457656809867 24.934068806860214, 66.98952578463143 24.934135673822112, 66.98959901939233 24.929622878586162, 66.98464998284561 24.929556025346656)))"
10369.7841796875,3,0,1610.93525390625,Moderate Deficit,"MULTIPOLYGON (((66.97970096408275 24.929489007970854, 66.97962736935261 24.93400177572834, 66.98457656809867 24.934068806860214, 66.98464998284561 24.929556025346656, 66.97970096408275 24.929489007970854)))"
16379.3994140625,1,0,4413.81982421875,High Deficit,"MULTIPOLYGON (((66.97962736935261 24.93400177572834, 66.9795537567922 24.938514540550177, 66.98450313556503 24.938581585439092, 66.98457656809867 24.934068806860214, 66.97962736935261 24.93400177572834)))"
